,Date,Open,High,Low,Close,Volume
949,2018-01-02,10.42,11.02,10.34,10.98,44146300
950,2018-01-03,11.61,12.14,11.36,11.55,154066700
951,2018-01-04,12.1,12.43,11.97,12.12,109503000
952,2018-01-05,12.19,12.22,11.66,11.88,63808900
953,2018-01-08,12.01,12.3,11.85,12.28,63346000
954,2018-01-09,12.0,12.02,11.71,11.82,62560900
955,2018-01-10,11.63,12.15,11.56,11.96,52561200
956,2018-01-11,12.07,12.19,11.9,12.14,38354900
957,2018-01-12,11.82,12.07,11.8,12.02,47149300
958,2018-01-16,12.05,12.2,11.8,11.91,42686600
959,2018-01-17,11.9,12.19,11.82,12.18,38833900
960,2018-01-18,12.18,12.68,12.15,12.47,62086200
961,2018-01-19,12.56,12.88,12.54,12.59,46800700
962,2018-01-22,12.61,12.74,12.37,12.65,34758600
963,2018-01-23,12.82,13.0,12.76,12.94,46417200
964,2018-01-24,13.02,13.05,12.6,12.71,41956400
965,2018-01-25,12.78,12.94,12.32,12.41,42966600
966,2018-01-26,12.7,12.95,12.62,12.95,44239000
967,2018-01-29,13.13,13.47,13.05,13.32,66645400
968,2018-01-30,13.12,13.27,12.69,12.87,91236400
969,2018-01-31,13.24,13.85,13.15,13.74,140977800
970,2018-02-01,13.62,13.84,13.21,13.25,67543300
971,2018-02-02,13.05,13.06,12.43,12.45,79432600
972,2018-02-05,12.05,12.18,10.93,11.57,116568900
973,2018-02-06,11.04,11.74,11.0,11.65,87123200
974,2018-02-07,11.7,11.9,11.53,11.6,55758400
975,2018-02-08,11.72,11.85,11.21,11.22,56471800
976,2018-02-09,11.54,11.57,10.63,11.31,85458200
977,2018-02-12,11.47,11.8,11.43,11.68,63160900
978,2018-02-13,11.6,11.82,11.53,11.78,33661400
979,2018-02-14,11.72,12.31,11.63,12.2,51756800
980,2018-02-15,12.4,12.63,12.07,12.19,59593800
981,2018-02-16,12.11,12.23,11.82,11.82,47332300
982,2018-02-20,11.72,12.19,11.71,12.02,47096500
983,2018-02-21,12.12,12.12,11.72,11.72,40195800
984,2018-02-22,11.82,12.0,11.63,11.84,37886300
985,2018-02-23,11.95,12.16,11.94,12.07,33317600
986,2018-02-26,12.14,12.43,12.05,12.42,42265200
987,2018-02-27,12.43,12.88,12.39,12.53,55975300
988,2018-02-28,12.66,12.73,12.1,12.11,43387500
989,2018-03-01,12.26,12.27,11.66,11.9,63207400
990,2018-03-02,11.67,11.93,11.43,11.81,58123500
991,2018-03-05,11.69,12.06,11.61,11.91,43734800
992,2018-03-06,12.01,12.05,11.71,11.76,46751200
993,2018-03-07,11.58,12.82,11.55,12.24,127603200
994,2018-03-08,12.4,12.59,11.74,11.97,76011200
995,2018-03-09,12.03,12.04,11.58,11.7,89674400
996,2018-03-12,11.76,11.82,11.48,11.52,83748700
997,2018-03-13,11.5,12.04,11.1,11.64,174302600
998,2018-03-14,11.7,11.72,11.26,11.36,80540800
999,2018-03-15,11.43,11.55,11.19,11.46,66373900
1000,2018-03-16,11.49,11.55,11.32,11.47,37591000
1001,2018-03-19,11.41,11.74,11.35,11.43,53308600
1002,2018-03-20,11.41,11.52,11.0,11.11,65116900
1003,2018-03-21,11.16,11.34,11.11,11.26,44691700
1004,2018-03-22,11.1,11.26,10.85,10.91,59944200
1005,2018-03-23,10.91,10.97,10.57,10.63,54844500
1006,2018-03-26,10.71,10.8,10.18,10.44,75878500
1007,2018-03-27,10.51,10.59,9.9,10.0,68551300
1008,2018-03-28,9.99,10.17,9.79,9.81,64832100
1009,2018-03-29,9.94,10.08,9.81,10.05,48681400
1010,2018-04-02,9.99,10.14,9.51,9.53,64824600
1011,2018-04-03,9.63,9.77,9.3,9.55,54891600
1012,2018-04-04,9.08,9.81,9.04,9.77,67356900
1013,2018-04-05,10.05,10.2,9.91,10.02,65758800
1014,2018-04-06,9.83,10.1,9.5,9.61,51087100
1015,2018-04-09,9.75,9.84,9.52,9.53,38382600
1016,2018-04-10,9.75,10.04,9.71,9.98,42849200
1017,2018-04-11,9.87,10.03,9.79,9.82,29169300
1018,2018-04-12,9.98,10.1,9.82,10.08,47784400
1019,2018-04-13,10.2,10.22,9.88,9.93,38935700
1020,2018-04-16,10.0,10.17,9.9,10.09,28875100
1021,2018-04-17,10.28,10.53,10.2,10.52,45360300
1022,2018-04-18,10.51,10.65,10.33,10.36,42449600
1023,2018-04-19,10.18,10.33,9.99,10.11,57841600
1024,2018-04-20,10.05,10.14,9.95,9.99,39011900
1025,2018-04-23,10.09,10.19,9.97,10.04,42971300
1026,2018-04-24,10.19,10.35,9.95,10.09,44992200
1027,2018-04-25,10.06,10.09,9.56,9.71,90578000
1028,2018-04-26,10.87,11.19,10.61,11.04,145284100
1029,2018-04-27,11.2,11.36,11.02,11.11,74347800
1030,2018-04-30,11.06,11.14,10.87,10.88,50608800
1031,2018-05-01,10.83,11.15,10.77,11.13,43441600
1032,2018-05-02,11.1,11.16,10.97,10.97,29267300
1033,2018-05-03,10.9,11.06,10.83,10.93,33310600
1034,2018-05-04,10.88,11.29,10.87,11.28,47884900
1035,2018-05-07,11.32,11.68,11.3,11.59,54001700
1036,2018-05-08,11.49,11.66,11.4,11.61,35218400
1037,2018-05-09,11.65,11.98,11.57,11.95,49605700
1038,2018-05-10,11.98,12.18,11.95,12.13,49744500
1039,2018-05-11,11.89,12.03,11.69,11.95,43863700
1040,2018-05-14,12.14,12.36,12.11,12.23,50263800
